150;2;1;26700;22
150;2;6;27664;22
150;3;1;39228;31
150;3;6;38278;31
150;5;1;10758;9
150;5;6;11062;9
150;4;1;26679;22
150;4;6;26374;22
150;1;1;20846;18
150;1;6;22628;18
150;8;1;23946;20
150;8;6;26210;20
150;6;1;2820;2
150;6;6;2276;2
180;3;1;26739;22
180;3;6;27202;22
180;4;1;40124;33
180;4;6;39913;33
180;8;1;29278;24
180;8;6;28911;24
180;2;1;11607;10
180;2;6;11096;10
180;7;1;21162;17
180;7;6;21143;17
180;1;1;27095;22
180;1;6;26666;22
180;5;1;8136;7
180;5;6;9296;7
180;6;1;2779;2
180;6;6;2234;2
210;3;1;31102;26
210;3;6;31188;26
210;2;1;10020;8
210;2;6;9616;8
210;7;1;29971;24
210;7;6;28120;24
210;8;1;21950;18
210;8;6;21364;18
210;4;1;14003;12
210;4;6;13993;12
210;5;1;6314;5
210;5;6;6114;5
210;1;1;11397;10
210;1;6;11680;10
210;6;1;3338;3
210;6;6;3786;3
240;3;1;17742;14
240;3;6;17339;14
240;7;1;6006;5
240;7;6;6273;5
240;2;1;12818;10
240;2;6;12588;10
240;8;1;25491;21
240;8;6;24508;21
240;1;1;3695;3
240;1;6;3446;3
240;5;1;1321;1
240;5;6;1254;1
270;5;1;17700;14
270;5;6;16172;14
270;8;1;28151;23
270;8;6;28400;23
270;7;1;51374;42
270;7;6;49392;42
270;2;1;36824;29
270;2;6;35536;29
270;4;1;19356;15
270;4;6;16999;15
270;3;1;11259;9
270;3;6;10466;9
270;1;1;20269;16
270;1;6;19974;16
270;6;1;11417;10
270;6;6;11625;10
300;2;1;28271;23
300;2;6;28010;23
300;7;1;19247;15
300;7;6;18782;15
300;1;1;5837;5
300;1;6;6310;5
300;8;1;13532;10
300;8;6;12806;10
300;3;1;14684;12
300;3;6;15114;12
330;8;1;23245;20
330;8;6;24253;20
330;3;1;18434;16
330;3;6;19801;16
330;2;1;31372;26
330;2;6;30287;26
330;6;1;14136;12
330;6;6;13822;12
330;4;1;10470;8
330;4;6;9632;8
330;7;1;27906;23
330;7;6;27780;23
330;5;1;12426;10
330;5;6;12402;10
330;1;1;10555;9
330;1;6;11129;9
360;2;1;32096;27
360;2;6;31198;27
360;4;1;31391;25
360;4;6;30257;25
360;8;1;23298;19
360;8;6;22713;19
360;1;1;23119;19
360;1;6;23022;19
360;3;1;30840;26
360;3;6;30798;26
360;7;1;38087;32
360;7;6;37410;32
360;5;1;17372;15
360;5;6;17738;15
360;6;1;7278;6
360;6;6;7088;6
390;8;1;28941;23
390;8;6;26881;23
390;3;1;16879;14
390;3;6;16881;14
390;7;1;32043;27
390;7;6;33730;27
390;1;1;17855;15
390;1;6;18406;15
390;4;1;11362;9
390;4;6;11002;9
390;2;1;19150;15
390;2;6;18192;15
390;5;1;25364;21
390;5;6;24634;21
390;6;1;7496;6
390;6;6;7368;6
420;8;1;37070;31
420;8;6;37921;31
420;2;1;29212;24
420;2;6;31372;24
420;3;1;22230;18
420;3;6;21047;18
420;7;1;42985;35
420;7;6;42818;35
420;5;1;13859;12
420;5;6;14757;12
420;1;1;4472;4
420;1;6;5178;4
420;6;1;3858;3
420;6;6;4012;3
420;4;1;5313;4
420;4;6;4865;4
450;8;1;40898;33
450;8;6;39875;33
450;2;1;24774;20
450;2;6;23694;20
450;7;1;60891;50
450;7;6;61246;50
450;1;1;29937;24
450;1;6;28994;24
450;4;1;16238;14
450;4;6;15733;14
450;5;1;25228;20
450;5;6;25048;20
450;3;1;5920;5
450;3;6;6425;5
450;6;1;11497;10
450;6;6;12961;10
480;1;1;27387;23
480;1;6;28076;23
480;8;1;24382;19
480;8;6;23095;19
480;2;1;10245;8
480;2;6;9519;8
480;7;1;31410;25
480;7;6;29523;25
480;3;1;25907;22
480;3;6;27858;22
480;5;1;4985;4
480;5;6;4627;4
480;6;1;1977;2
480;6;6;2111;2
480;4;1;18936;15
480;4;6;18553;15
510;1;1;28284;24
510;1;6;29360;24
510;7;1;42063;36
510;7;6;45310;36
510;2;1;30270;26
510;2;6;32301;26
510;8;1;25839;22
510;8;6;26317;22
510;4;1;30860;25
510;4;6;29664;25
510;3;1;17945;14
510;3;6;16912;14
510;5;1;23553;19
510;5;6;23217;19
510;6;1;14195;11
510;6;6;14018;11
540;7;1;38890;32
540;7;6;37768;32
540;4;1;28548;24
540;4;6;29282;24
540;3;1;25600;21
540;3;6;25756;21
540;2;1;25927;21
540;2;6;23992;21
540;8;1;22541;18
540;8;6;21987;18
540;5;1;13333;11
540;5;6;13988;11
540;6;1;6847;6
540;6;6;7474;6
540;1;1;25429;21
540;1;6;24652;21
570;3;1;34534;29
570;3;6;34567;29
570;4;1;10504;9
570;4;6;10216;9
570;8;1;18963;16
570;8;6;20215;16
570;1;1;16534;14
570;1;6;16822;14
570;7;1;35177;30
570;7;6;35100;30
570;5;1;16070;13
570;5;6;15379;13
570;2;1;11333;10
570;2;6;10856;10
570;6;1;6088;5
570;6;6;6001;5
600;8;1;26257;22
600;8;6;26553;22
600;3;1;22193;19
600;3;6;23656;19
600;5;1;14543;12
600;5;6;14823;12
600;4;1;17509;14
600;4;6;17148;14
600;1;1;24105;20
600;1;6;24269;20
600;6;1;7867;7
600;6;6;8754;7
600;7;1;33927;29
600;7;6;35173;29
600;2;1;8457;7
600;2;6;8974;7
630;7;1;50097;40
630;7;6;48334;40
630;1;1;29373;24
630;1;6;29347;24
630;6;1;9175;8
630;6;6;9380;8
630;5;1;27322;22
630;5;6;26588;22
630;2;1;17509;14
630;2;6;17092;14
630;8;1;19039;15
630;8;6;17499;15
630;3;1;37894;32
630;3;6;37051;32
630;4;1;20312;17
630;4;6;21230;17
660;1;1;18243;16
660;1;6;19285;16
660;3;1;37792;31
660;3;6;37968;31
660;5;1;16825;14
660;5;6;15953;14
660;7;1;39686;33
